{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:21:31'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:22:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:22:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:23:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:23:30'}
{'1': 'event', '2': 'config update', '3': {'success': 1}, '4': '2023-11-06 23:25:26'}
{'1': 'event', '2': 'startup', '4': '2023-11-06 23:25:41'}
{'1': 'decision', '2': 'albatros', '3': 0, '4': '2023-11-06 23:25:42'}
{'1': 'state', '2': 'albatros', '3': 0, '4': '2023-11-06 23:25:42'}
{'1': 'event', '2': 'config update', '3': {'success': 1}, '4': '2023-11-06 23:25:44'}
{'1': 'event', '2': 'override update', '3': {'success': 1}, '4': '2023-11-06 23:25:45'}
{'1': 'event', '2': 'schedule update', '3': {'success': 1}, '4': '2023-11-06 23:25:54'}
{'1': 'state', '2': 'temp measurement', '3': {1: 0.5}, '4': '2023-11-06 23:26:00'}
{'1': 'state', '2': 'temp measurement', '3': {2: 0.5}, '4': '2023-11-06 23:26:00'}
{'1': 'state', '2': 'temp measurement', '3': {3: 0.5}, '4': '2023-11-06 23:26:00'}
{'1': 'state', '2': 'temp measurement', '3': {4: 0.5}, '4': '2023-11-06 23:26:01'}
{'1': 'state', '2': 'temp measurement', '3': {5: 0.5}, '4': '2023-11-06 23:26:01'}
{'1': 'state', '2': 'temp measurement', '3': {6: 0.5}, '4': '2023-11-06 23:26:01'}
{'1': 'state', '2': 'temp measurement', '3': {7: 0.5}, '4': '2023-11-06 23:26:01'}
{'1': 'state', '2': 'set temp', '3': {1: 0.0}, '4': '2023-11-06 23:26:01'}
{'1': 'state', '2': 'set temp', '3': {2: 0.0}, '4': '2023-11-06 23:26:01'}
{'1': 'state', '2': 'set temp', '3': {3: 0.0}, '4': '2023-11-06 23:26:01'}
{'1': 'state', '2': 'set temp', '3': {4: 0.0}, '4': '2023-11-06 23:26:01'}
{'1': 'state', '2': 'set temp', '3': {5: 0.0}, '4': '2023-11-06 23:26:02'}
{'1': 'state', '2': 'set temp', '3': {6: 0.0}, '4': '2023-11-06 23:26:02'}
{'1': 'state', '2': 'set temp', '3': {7: 0.0}, '4': '2023-11-06 23:26:02'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:26:02'}
{'1': 'state', '2': 'external temp', '3': 8.6, '4': '2023-11-06 23:26:02'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:26:30'}
{'1': 'event', '2': 'startup', '4': '2023-11-06 23:28:40'}
{'1': 'decision', '2': 'albatros', '3': 0, '4': '2023-11-06 23:28:40'}
{'1': 'state', '2': 'albatros', '3': 0, '4': '2023-11-06 23:28:40'}
{'1': 'event', '2': 'config update', '3': {'success': 1}, '4': '2023-11-06 23:28:41'}
{'1': 'event', '2': 'override update', '3': {'success': 1}, '4': '2023-11-06 23:28:43'}
{'1': 'event', '2': 'schedule update', '3': {'success': 1}, '4': '2023-11-06 23:28:52'}
{'1': 'state', '2': 'temp measurement', '3': {1: 0.5}, '4': '2023-11-06 23:29:00'}
{'1': 'state', '2': 'temp measurement', '3': {2: 0.5}, '4': '2023-11-06 23:29:00'}
{'1': 'state', '2': 'temp measurement', '3': {3: 0.5}, '4': '2023-11-06 23:29:00'}
{'1': 'state', '2': 'temp measurement', '3': {4: 0.5}, '4': '2023-11-06 23:29:01'}
{'1': 'state', '2': 'temp measurement', '3': {5: 0.5}, '4': '2023-11-06 23:29:01'}
{'1': 'state', '2': 'temp measurement', '3': {6: 0.5}, '4': '2023-11-06 23:29:01'}
{'1': 'state', '2': 'temp measurement', '3': {7: 0.5}, '4': '2023-11-06 23:29:01'}
{'1': 'state', '2': 'set temp', '3': {1: 0.0}, '4': '2023-11-06 23:29:01'}
{'1': 'state', '2': 'set temp', '3': {2: 0.0}, '4': '2023-11-06 23:29:01'}
{'1': 'state', '2': 'set temp', '3': {3: 0.0}, '4': '2023-11-06 23:29:01'}
